일차,시간,장소,팀,모이는곳,화장실,체험안내,주의사항,이미지URL
1,07:30~12:30,학교 집합 및 부산 이동,,학교 정문 앞 집합,,버스 내 안전띠 필수 착용,운행 중 자리 이동 금지. 멀미약은 출발 30분 전에 복용,
1,12:30~14:00,중식 (프리미엄 뷔페),,뷔페 1층 입구,뷔페 내부 1층,다양한 메뉴의 프리미엄 뷔페,알레르기 유발 식품 주의. 음식 낭비 금지,
1,14:00~18:00,송도 해상케이블카 + 용궁구름다리,A,케이블카 매표소 앞,케이블카 탑승장 옆,부산 바다 위를 가로지르는 해상 케이블카와 바다 위 유리 다리 체험,케이블카 안에서 장난 금지. 구름다리 위에서 뛰지 않기,/schedule/songdo_cablecar.png
1,14:00~18:00,런닝맨 체험관,B,체험관 1층 로비,체험관 내부 각 층,런닝맨 TV 프로그램을 실제로 체험하는 실내 액티비티,안전 수칙 준수. 과격한 행동 자제,/schedule/running_man.png
1,14:00~18:00,송도 해상케이블카 + 용궁구름다리,B,케이블카 매표소 앞,케이블카 탑승장 옆,부산 바다 위를 가로지르는 해상 케이블카와 바다 위 유리 다리 체험,케이블카 안에서 장난 금지. 구름다리 위에서 뛰지 않기,/schedule/yonggung_bridge.png
1,14:00~18:00,런닝맨 체험관,A,체험관 1층 로비,체험관 내부 각 층,런닝맨 TV 프로그램을 실제로 체험하는 실내 액티비티,안전 수칙 준수. 과격한 행동 자제,/schedule/running_man.png
1,18:00~19:00,석식 (선착장 인근),,식당 입구,식당 내부,선착장 인근 식당에서 석식,,
1,19:30~20:30,야간 요트 투어 (다이아몬드 베이),,선착장 매표소 앞,선착장 화장실,부산 야경을 감상하며 요트 투어. 다이아몬드 베이의 아름다운 야경 감상,구명조끼 반드시 착용. 요트 위에서 장난 금지. 난간 밖으로 몸 내밀지 않기,/schedule/diamond_bay_yacht.png
1,21:00~22:30,숙소 이동 및 야식,,숙소 로비,각 층 화장실,치킨 야식 제공,22시 이후 타 객실 이동 금지. 소음 주의,
2,08:00~09:00,조식 (숙소 정식),,숙소 식당,숙소 각 층 화장실,숙소 내 조식,정해진 시간 내 식사 완료,
2,09:00~10:00,해동용궁사 (단체사진),,용궁사 입구 매표소,용궁사 입구 화장실,바다 위 절벽에 세워진 아름다운 사찰 탐방. 학급별 단체사진 촬영,계단이 많으니 천천히 이동. 사찰 내 정숙,/schedule/haedong_yonggungsa.png
2,10:00~11:30,경주월드 이동,,버스 주차장,,버스로 경주 이동 (약 1시간 30분),안전띠 착용. 이동 중 수면 가능,
2,12:00~18:00,경주월드 체험 (점심 밀쿠폰),,"놀이공원 정문 시계탑 (17:30 최종 집합)",공원 내 각 구역 화장실,스릴 넘치는 놀이기구와 다양한 어트랙션 체험. 점심은 밀쿠폰으로 원내 식당 이용,2인 이상 동행 필수. 놀이기구 안전 수칙 준수. 귀중품 보관 주의,/schedule/gyeongju_world.png
2,18:30~20:30,고기 뷔페,,뷔페 입구,뷔페 내부,고기 뷔페에서 든든한 저녁 식사,화상 주의. 음식 낭비 금지,
2,21:00~22:00,숙소 이동 및 휴식,,숙소 로비,숙소 각 층 화장실,숙소 도착 후 자유 휴식,22시 이후 타 객실 이동 금지. 소음 주의,
3,08:00~09:00,조식 (숙소 정식),,숙소 식당,숙소 각 층 화장실,숙소 내 조식. 짐 정리 후 체크아웃 준비,퇴실 전 개인 물품 꼭 챙기기. 방 정리 정돈,
3,09:00~10:00,불국사 (학급 단체사진),,불국사 매표소 앞,불국사 입구 화장실,"유네스코 세계문화유산. 신라 시대의 대표적 사찰. 석가탑, 다보탑, 청운교·백운교 등 국보급 문화재 감상",문화재 훼손 금지. 조용히 관람,/schedule/bulguksa_temple.png
3,10:00~12:00,국립경주박물관,,박물관 정문,박물관 지하 1층 화장실,"신라 천년의 역사를 보여주는 유물 전시. 에밀레종(성덕대왕신종), 금관 등 국보급 유물 관람",전시물에 손 대지 않기. 관내 정숙. 사진 촬영 가능 구역 확인,/schedule/gyeongju_museum.png
3,12:00~13:00,중식 (현지 특식),,식당 입구,식당 내부,경주 현지 특식으로 점심 식사,,
3,13:00~16:00,학교 복귀 및 해산,,학교 정문,,버스로 학교 복귀. 도착 후 해산,안전띠 착용. 개인 물품 분실 확인,
